Run,Converged_Alpha,Serendipity
1,0.37704494977503533,1.0
2,0.3069662196722378,1.0
3,0.3121449685769,1.0
4,0.3071202514971392,1.0
5,0.3284583570103464,1.0
6,0.333506292479001,1.0
7,0.35227891608837036,1.0
8,0.3412617846231595,1.0
9,0.3222863704768387,1.0
10,0.36508001376988597,1.0
11,0.37558898296654386,1.0
12,0.33765619188879237,1.0
13,0.37505712887328513,1.0
14,0.37198560295919836,1.0
15,0.36182242914530094,1.0
16,0.3139177580159527,1.0
17,0.3751686332887789,1.0
18,0.3764982756622257,1.0
19,0.3889251879682073,1.0
20,0.38591682283064277,1.0
Mean ± SD,0.3504 ± 0.0275,1.0000
